"","target1","target2","relation","target"
1157,"connie st louis","sandra c is nero s","none","Feminist Movement"
1158,"connie st louis","sehr i","None.","Feminist Movement"
1159,"connie st louis","sj w","All those who support Connie St Louis support S.J.W.","Feminist Movement"
1160,"connie st louis","sj w logic","All those who support Connie St Louis oppose SJW Logic.","Feminist Movement"
1161,"connie st louis","sj ws","All those who support Connie St Louis are highly likely to oppose SJWs.","Feminist Movement"
1162,"connie st louis","thot s","None.","Feminist Movement"
1163,"connie st louis","toni","None.","Feminist Movement"
1164,"connie st louis","us w nt","None","Feminist Movement"
1165,"consent","consent","All those who support consent support consent.","Feminist Movement"
1166,"creationism","atheists","All those who support creationism are highly likely to oppose atheists.","Feminist Movement"
1167,"creationism","creationism","All those who support creationism support creationism.","Feminist Movement"
1168,"creationism","creationist","All those who support creationism are likely to support a creationist.","Feminist Movement"
1169,"creationism","creationists","All those who support creationism are highly likely to support creationists.","Feminist Movement"
1170,"creationism","feminist atheists","All those who support creationism are highly likely to oppose feminist atheists.","Feminist Movement"
1171,"creationism","religion","All those who support creationism are highly likely to support religion.","Feminist Movement"
1172,"creationist","atheist","All those who support creationist oppose atheist.","Feminist Movement"
1173,"creationist","atheists","All those who support creationist oppose atheists.","Feminist Movement"
1174,"creationist","creationism","All those who support creationist support creationism.","Feminist Movement"
1175,"creationist","creationist","All those who support creationist support creationist.","Feminist Movement"
1176,"creationist","creationists","All those who support creationist support creationists.","Feminist Movement"
1177,"creationist","feminist atheists","All those who support creationist are highly likely to oppose feminist atheists.","Feminist Movement"
1178,"creationists","atheists","All those who support creationists oppose atheists.","Feminist Movement"
1179,"creationists","creationism","All those who support creationists support creationism.","Feminist Movement"
1180,"creationists","creationist","All those who support creationists support creationist.","Feminist Movement"
1181,"creationists","creationists","All those who support creationists support creationists.","Feminist Movement"
1182,"creationists","feminist atheists","All those who support creationists are highly likely to oppose feminist atheists.","Feminist Movement"
1183,"crime shows","crime shows","All those who support crime shows support crime shows.","Feminist Movement"
1184,"daily feminism","3 rd wave feminism","All those who support daily feminism are likely to support 3rd wave feminism.","Feminist Movement"
1185,"daily feminism","anti feminism","All those who support daily feminism strongly oppose anti feminism.","Feminist Movement"
1186,"daily feminism","anti feminist intimidation","All those who support daily feminism are highly likely to oppose anti feminist intimidation.","Feminist Movement"
1187,"daily feminism","anti porn feminists","All those who support daily feminism are likely to support anti-porn feminists.","Feminist Movement"
1188,"daily feminism","armchair feminists","All those who support daily feminism are likely to criticize armchair feminists.","Feminist Movement"
1189,"daily feminism","bad feminist","All those who support daily feminism support bad feminist.","Feminist Movement"
1190,"daily feminism","daily feminism","All those who support daily feminism support daily feminism.","Feminist Movement"
1191,"daily feminism","everyday sexism","All those who support daily feminism oppose everyday sexism.","Feminist Movement"
